ensemble,model,weight,quantile,window,horizons
QRA (weighted counts and quantiles),Case convolution,0.237,0.75,2,"1, 2, 3, 4"
QRA (weighted counts and quantiles),Rt,0.577,0.75,2,"1, 2, 3, 4"
QRA (weighted counts and quantiles),Timeseries,0.186,0.75,2,"1, 2, 3, 4"
QRA (weighted counts and quantiles),Case convolution,0.237,0.8,2,"1, 2, 3, 4"
QRA (weighted counts and quantiles),Rt,0.577,0.8,2,"1, 2, 3, 4"
QRA (weighted counts and quantiles),Timeseries,0.186,0.8,2,"1, 2, 3, 4"
QRA (weighted counts and quantiles),Case convolution,0.218,0.85,2,"1, 2, 3, 4"
QRA (weighted counts and quantiles),Rt,0.463,0.85,2,"1, 2, 3, 4"
QRA (weighted counts and quantiles),Timeseries,0.319,0.85,2,"1, 2, 3, 4"
QRA (weighted counts and quantiles),Case convolution,0.218,0.9,2,"1, 2, 3, 4"
QRA (weighted counts and quantiles),Rt,0.463,0.9,2,"1, 2, 3, 4"
QRA (weighted counts and quantiles),Timeseries,0.319,0.9,2,"1, 2, 3, 4"
QRA (weighted counts and quantiles),Case convolution,0.218,0.95,2,"1, 2, 3, 4"
QRA (weighted counts and quantiles),Rt,0.463,0.95,2,"1, 2, 3, 4"
QRA (weighted counts and quantiles),Timeseries,0.319,0.95,2,"1, 2, 3, 4"
QRA (weighted counts and quantiles),Case convolution,0.218,0.975,2,"1, 2, 3, 4"
QRA (weighted counts and quantiles),Rt,0.463,0.975,2,"1, 2, 3, 4"
QRA (weighted counts and quantiles),Timeseries,0.319,0.975,2,"1, 2, 3, 4"
QRA (weighted counts and quantiles),Case convolution,0.218,0.99,2,"1, 2, 3, 4"
QRA (weighted counts and quantiles),Rt,0.463,0.99,2,"1, 2, 3, 4"
QRA (weighted counts and quantiles),Timeseries,0.319,0.99,2,"1, 2, 3, 4"
QRA,Case convolution,0.556,,4,"1, 2, 3, 4"
QRA,Rt,0.006,,4,"1, 2, 3, 4"
QRA,Timeseries,0.438,,4,"1, 2, 3, 4"
QRA,Case convolution,0.556,0.01,4,"1, 2, 3, 4"
QRA,Rt,0.006,0.01,4,"1, 2, 3, 4"
QRA,Timeseries,0.438,0.01,4,"1, 2, 3, 4"
QRA,Case convolution,0.556,0.025,4,"1, 2, 3, 4"
QRA,Rt,0.006,0.025,4,"1, 2, 3, 4"
QRA,Timeseries,0.438,0.025,4,"1, 2, 3, 4"
QRA,Case convolution,0.556,0.05,4,"1, 2, 3, 4"
QRA,Rt,0.006,0.05,4,"1, 2, 3, 4"
QRA,Timeseries,0.438,0.05,4,"1, 2, 3, 4"
QRA,Case convolution,0.556,0.1,4,"1, 2, 3, 4"
QRA,Rt,0.006,0.1,4,"1, 2, 3, 4"
QRA,Timeseries,0.438,0.1,4,"1, 2, 3, 4"
QRA,Case convolution,0.556,0.15,4,"1, 2, 3, 4"
QRA,Rt,0.006,0.15,4,"1, 2, 3, 4"
QRA,Timeseries,0.438,0.15,4,"1, 2, 3, 4"
QRA,Case convolution,0.556,0.2,4,"1, 2, 3, 4"
QRA,Rt,0.006,0.2,4,"1, 2, 3, 4"
QRA,Timeseries,0.438,0.2,4,"1, 2, 3, 4"
QRA,Case convolution,0.556,0.25,4,"1, 2, 3, 4"
QRA,Rt,0.006,0.25,4,"1, 2, 3, 4"
QRA,Timeseries,0.438,0.25,4,"1, 2, 3, 4"
QRA,Case convolution,0.556,0.3,4,"1, 2, 3, 4"
