region,point,lower,upper,mid_lower,mid_upper,metric,Expected change in daily cases
Virginia,3,0,12,0,3,New confirmed cases by infection date,Likely decreasing
Colorado,2,0,7,1,3,New confirmed cases by infection date,Unsure
New Mexico,2,0,5,2,3,New confirmed cases by infection date,Unsure
New York,2,0,9,0,2,New confirmed cases by infection date,Likely decreasing
Washington,2,0,8,0,2,New confirmed cases by infection date,Unsure
West Virginia,2,0,8,0,2,New confirmed cases by infection date,Unsure
Kansas,1.29,0.76,2.22,0.98,1.38,Effective reproduction no.,Likely increasing
Hawaii,1.1,0.47,1.5,0.97,1.27,Effective reproduction no.,Unsure
Minnesota,1.09,0.56,2.07,0.85,1.19,Effective reproduction no.,Unsure
Montana,1.09,0.57,1.84,0.92,1.2,Effective reproduction no.,Unsure
Rhode Island,1.09,0.69,1.66,0.99,1.19,Effective reproduction no.,Unsure
Nebraska,1.07,0.55,1.86,0.92,1.19,Effective reproduction no.,Unsure
North Dakota,1.07,0.64,1.46,0.98,1.17,Effective reproduction no.,Unsure
Tennessee,1.07,0.7,1.68,0.95,1.14,Effective reproduction no.,Unsure
Kentucky,1.06,0.62,1.33,0.99,1.11,Effective reproduction no.,Unsure
Delaware,1.05,0.29,1.93,0.8,1.16,Effective reproduction no.,Unsure
Illinois,1.04,0.83,1.34,0.98,1.08,Effective reproduction no.,Unsure
Puerto Rico,1.04,0.62,1.49,0.92,1.11,Effective reproduction no.,Unsure
Arkansas,1.03,0.61,1.26,0.96,1.09,Effective reproduction no.,Unsure
Michigan,1.03,0.58,1.45,0.94,1.15,Effective reproduction no.,Unsure
Connecticut,1.02,0.49,2.09,0.81,1.16,Effective reproduction no.,Unsure
Oklahoma,1.02,0.51,1.66,0.93,1.08,Effective reproduction no.,Unsure
South Dakota,1.02,0.53,1.72,0.86,1.1,Effective reproduction no.,Unsure
Connecticut,1,0,16,0,1,New confirmed cases by infection date,Unsure
Delaware,1,0,15,0,1,New confirmed cases by infection date,Unsure
District of Columbia,1,0,2,0,1,New confirmed cases by infection date,Unsure
New Jersey,1,0.49,1.56,0.83,1.13,Effective reproduction no.,Unsure
South Dakota,1,0,7,0,1,New confirmed cases by infection date,Unsure
Utah,1,0,3,0,1,New confirmed cases by infection date,Unsure
District of Columbia,0.99,0.25,1.39,0.85,1.14,Effective reproduction no.,Unsure
Indiana,0.99,0.73,1.21,0.93,1.04,Effective reproduction no.,Unsure
Missouri,0.99,0.41,1.26,0.9,1.11,Effective reproduction no.,Unsure
North Carolina,0.99,0.7,1.23,0.93,1.04,Effective reproduction no.,Unsure
Oregon,0.99,0.66,1.29,0.93,1.06,Effective reproduction no.,Unsure
California,0.98,0.72,1.33,0.9,1.02,Effective reproduction no.,Unsure
Massachusetts,0.98,0.64,1.26,0.91,1.04,Effective reproduction no.,Unsure
Wisconsin,0.98,0.65,1.35,0.9,1.05,Effective reproduction no.,Unsure
Alaska,0.97,0.19,1.41,0.83,1.15,Effective reproduction no.,Unsure
South Carolina,0.97,0.75,1.26,0.92,1.02,Effective reproduction no.,Unsure
Georgia,0.96,0.58,1.29,0.86,1.06,Effective reproduction no.,Unsure
Idaho,0.96,0.56,1.24,0.88,1.03,Effective reproduction no.,Unsure
Ohio,0.96,0.44,1.29,0.86,1.06,Effective reproduction no.,Unsure
Pennsylvania,0.96,0.53,1.22,0.88,1.05,Effective reproduction no.,Unsure
US,0.96,0.79,1.15,0.91,1,Effective reproduction no.,Unsure
Louisiana,0.95,0.62,1.33,0.85,1.03,Effective reproduction no.,Unsure
Maine,0.95,0.31,1.7,0.78,1.07,Effective reproduction no.,Unsure
Colorado,0.94,0.51,1.37,0.86,1.05,Effective reproduction no.,Unsure
Florida,0.94,0.65,1.24,0.86,0.99,Effective reproduction no.,Unsure
Maryland,0.94,0.59,1.22,0.88,1.02,Effective reproduction no.,Unsure
Mississippi,0.94,0.6,1.21,0.88,1.02,Effective reproduction no.,Unsure
New Mexico,0.94,0.62,1.19,0.87,1.01,Effective reproduction no.,Unsure
Iowa,0.93,0.48,1.24,0.85,1.07,Effective reproduction no.,Unsure
Nevada,0.93,0.51,1.34,0.78,1.03,Effective reproduction no.,Unsure
Alabama,0.92,0.46,1.24,0.84,1.03,Effective reproduction no.,Unsure
New Hampshire,0.92,0.39,1.85,0.76,1.04,Effective reproduction no.,Unsure
Utah,0.91,0.45,1.21,0.8,0.98,Effective reproduction no.,Unsure
West Virginia,0.89,0.27,1.29,0.76,1.12,Effective reproduction no.,Unsure
Arizona,0.87,0.47,1.12,0.8,0.94,Effective reproduction no.,Likely decreasing
Texas,0.86,0.36,1.18,0.76,1,Effective reproduction no.,Likely decreasing
New York,0.84,0.23,1.19,0.76,1.06,Effective reproduction no.,Likely decreasing
Virginia,0.8,0.07,1.18,0.64,1.03,Effective reproduction no.,Likely decreasing
Washington,0.8,0.17,1.26,0.61,0.98,Effective reproduction no.,Unsure
Alaska,0,0,2,0,0,New confirmed cases by infection date,Unsure
Maine,0,0,1,0,0,New confirmed cases by infection date,Unsure
New Hampshire,0,0,2,0,0,New confirmed cases by infection date,Unsure
